	entities	intent	text	clean_text	bow	len
32	[]	alcohol	I watch what I eat through the day so I can have more wine and less calories with my food	['watch', 'eat', 'day', 'much', 'wine', 'little', 'calory', 'food']	[(1, 1), (3, 1), (5, 1), (34, 1), (95, 1), (96, 1), (97, 1), (98, 1)]	8
33	[{'start': 21, 'end': 26, 'value': 'glass', 'entity': 'dosing'}, {'start': 30, 'end': 34, 'value': 'wine', 'entity': 'drug'}]	alcohol	I will have my first glass of wine throughout the day	['_num_', 'glass', 'wine', 'throughout', 'day']	[(1, 1), (5, 1), (27, 1), (99, 1), (100, 1)]	5
34	[{'start': 0, 'end': 20, 'value': 'Over the last 10 yrs', 'entity': 'duration'}]	alcohol	Over the last 10 yrs I’ve relied on alcohol more and more	['last', '_num_', 'yr', 'rely', 'alcohol', 'much', 'much']	[(16, 1), (27, 1), (34, 2), (101, 1), (102, 1), (103, 1)]	7
35	[]	alcohol	If i dont drink for a day or two, i feel fine in myself	['drink', 'day', 'two', 'feel', 'fine']	[(1, 1), (2, 1), (104, 1), (105, 1), (106, 1)]	5
36	[]	alcohol	I can take or leave drink but when I drink I get so drunk	['take', 'leave', 'drink', 'drink', 'get', 'drink']	[(2, 3), (51, 1), (107, 1), (108, 1)]	6
37	[]	alcohol	At last I more or less have my Drinking under control	['last', 'much', 'little', 'drinking', 'control']	[(3, 1), (34, 1), (101, 1), (109, 1), (110, 1)]	5
38	[{'start': 30, 'end': 41, 'value': '16-20 units', 'entity': 'dosing'}, {'start': 45, 'end': 52, 'value': 'whiskey', 'entity': 'drug'}, {'start': 65, 'end': 78, 'value': 'every evening', 'entity': 'period'}, {'start': 79, 'end': 97, 'value': 'for around 4 years', 'entity': 'duration'}]	alcohol	At that point I was on around 16-20 units of whiskey an evening, every evening for around 4 years	['point', 'around', '_num_', '_num_', 'unit', 'whiskey', 'even', 'every', 'even', 'around', '_num_', 'year']	[(14, 1), (20, 1), (27, 3), (76, 2), (93, 1), (111, 2), (112, 1), (113, 1)]	12
39	[{'start': 28, 'end': 43, 'value': '1 and 2 bottles', 'entity': 'dosing'}, {'start': 47, 'end': 57, 'value': 'white wine', 'entity': 'drug'}, {'start': 58, 'end': 65, 'value': 'a night', 'entity': 'period'}]	alcohol	I pretty much drink between 1 and 2 bottles of white wine a night	['pretty', 'much', 'drink', '_num_', '_num_', 'bottle', 'white', 'wine', 'night']	[(0, 1), (2, 1), (5, 1), (22, 1), (27, 2), (34, 1), (114, 1), (115, 1)]	9
40	[]	alcohol	I had started drinking a little	['start', 'drink', 'little']	[(2, 1), (3, 1), (56, 1)]	3
41	[]	alcohol	I'm a drunk	['drink']	[(2, 1)]	1
42	[{'start': 65, 'end': 85, 'value': 'for about nine years', 'entity': 'duration'}]	alcohol	I'm 33 now and I would say that I've been a full blown alcoholic for about nine years	['_num_', 'would', 'say', 'full', 'blow', 'alcoholic', 'nine', 'year']	[(14, 1), (27, 1), (58, 1), (78, 1), (116, 1), (117, 1), (118, 1), (119, 1)]	8
43	[]	alcohol	I have been drinking heavy lately	['drink', 'heavy', 'lately']	[(2, 1), (68, 1), (120, 1)]	3
44	[]	alcohol	I started drinking around aged 15	['start', 'drink', 'around', 'age', '_num_']	[(2, 1), (27, 1), (56, 1), (111, 1), (121, 1)]	5
45	[]	alcohol	Naltrexone has killed my urges and ability to drink wine	['naltrexone', 'kill', 'urge', 'ability', 'drink', 'wine']	[(2, 1), (5, 1), (122, 1), (123, 1), (124, 1), (125, 1)]	6
46	[{'start': 27, 'end': 42, 'value': 'in eleven weeks', 'entity': 'duration'}]	alcohol	I haven't touched anything in eleven weeks	['touch', 'anything', 'eleven', 'week']	[(4, 1), (126, 1), (127, 1), (128, 1)]	4
47	[{'start': 19, 'end': 30, 'value': 'half bottle', 'entity': 'dosing'}]	alcohol	this morning I had half bottle left	['morning', 'half', 'bottle', 'leave']	[(0, 1), (52, 1), (77, 1), (107, 1)]	4
48	[]	alcohol	I had two attemps at reducing my drinking	['two', 'attemps', 'reduce', 'drink']	[(2, 1), (70, 1), (106, 1), (129, 1)]	4
49	[]	alcohol	my thoughts are often on drinking	['thought', 'often', 'drink']	[(2, 1), (33, 1), (130, 1)]	3
50	[]	alcohol	a slow but progressive cutting down of the alcohol	['slow', 'progressive', 'cut', 'alcohol']	[(16, 1), (131, 1), (132, 1), (133, 1)]	4
51	[]	alcohol	I’ve known my drinking has been bad for a while but I just can’t seem to stop	['know', 'drink', 'bad', 'seem', 'stop']	[(2, 1), (25, 1), (31, 1), (134, 1), (135, 1)]	5
52	[{'start': 15, 'end': 22, 'value': 'a fifth', 'entity': 'dosing'}, {'start': 26, 'end': 31, 'value': 'vodka', 'entity': 'drug'}, {'start': 32, 'end': 37, 'value': 'a day', 'entity': 'period'}]	alcohol	I was drinking a fifth of vodka a day and sometimes more	['drink', '_num_', 'vodka', 'day', 'sometimes', 'much']	[(1, 1), (2, 1), (10, 1), (27, 1), (34, 1), (136, 1)]	6
53	[{'start': 18, 'end': 26, 'value': '3 nights', 'entity': 'dosing'}, {'start': 27, 'end': 33, 'value': 'a week', 'entity': 'period'}]	alcohol	Ive been drinking 3 nights a week	['drink', '_num_', 'night', 'week']	[(2, 1), (4, 1), (22, 1), (27, 1)]	4
54	[{'start': 35, 'end': 45, 'value': 'untill 5pm', 'entity': 'time'}]	alcohol	i have managed to not have a drink untill 5pm instead of usual 1 oclock	['manage', 'drink', 'untill', '_num_', 'pm', 'instead', 'usual', '_num_', 'oclock']	[(2, 1), (27, 2), (137, 1), (138, 1), (139, 1), (140, 1), (141, 1), (142, 1)]	9
55	[]	alcohol	the alcohol just takes the edge off	['alcohol', 'take', 'edge']	[(16, 1), (108, 1), (143, 1)]	3
56	[]	alcohol	I have a love of alcohol	['love', 'alcohol']	[(16, 1), (144, 1)]	2
57	[{'start': 32, 'end': 45, 'value': 'Tuesday night', 'entity': 'time'}]	alcohol	Last drink of alcohol I had was Tuesday night	['last', 'drink', 'alcohol', 'tuesday', 'night']	[(2, 1), (16, 1), (22, 1), (101, 1), (145, 1)]	5
58	[]	alcohol	I’m just out of rehab for the fifth time	['rehab', '_num_', 'time']	[(27, 1), (45, 1), (92, 1)]	3
59	[]	alcohol	I am a true drinker	['true', 'drinker']	[(146, 1), (147, 1)]	2
60	[{'start': 28, 'end': 31, 'value': '3pm', 'entity': 'time'}, {'start': 32, 'end': 41, 'value': 'every day', 'entity': 'period'}]	alcohol	I usually start drinking at 3pm every day and by 11pm the vodka is gone	['usually', 'start', 'drink', '_num_', 'pm', 'every', 'day', '_num_', 'pm', 'vodka', 'go']	[(1, 1), (2, 1), (10, 1), (11, 1), (20, 1), (27, 2), (56, 1), (140, 2), (148, 1)]	11
61	[{'start': 8, 'end': 18, 'value': 'white wine', 'entity': 'drug'}]	alcohol	I drink white wine	['drink', 'white', 'wine']	[(2, 1), (5, 1), (115, 1)]	3
62	[{'start': 46, 'end': 56, 'value': '1.5 liters', 'entity': 'dosing'}, {'start': 60, 'end': 64, 'value': 'wine', 'entity': 'drug'}, {'start': 65, 'end': 70, 'value': 'a day', 'entity': 'period'}]	alcohol	This time is bad 30 days straight of drinking 1.5 liters of wine a day	['time', 'bad', '_num_', 'day', 'straight', 'drink', '_num_', 'liter', 'wine', 'day']	[(1, 2), (2, 1), (5, 1), (27, 2), (92, 1), (134, 1), (149, 1), (150, 1)]	10
63	[]	alcohol	Im going to have a drink	['go', 'drink']	[(2, 1), (11, 1)]	2
64	[{'start': 23, 'end': 29, 'value': '1 pint', 'entity': 'dosing'}]	alcohol	I just as easily drink 1 pint at home if not in the mood	['easily', 'drink', '_num_', 'pint', 'home', 'mood']	[(2, 1), (27, 1), (40, 1), (151, 1), (152, 1), (153, 1)]	6
65	[]	alcohol	I'm mid 40's and have been a drinker pretty much all my life	['mid', '_num_', 'drinker', 'pretty', 'much', 'life']	[(27, 1), (34, 1), (114, 1), (146, 1), (154, 1), (155, 1)]	6
66	[]	alcohol	I am a functioning alcoholic	['function', 'alcoholic']	[(58, 1), (156, 1)]	2
67	[{'start': 13, 'end': 23, 'value': 'last night', 'entity': 'time'}, {'start': 28, 'end': 32, 'value': 'same', 'entity': 'dosing'}]	alcohol	i drank less last night and same today	['drink', 'little', 'last', 'night', 'today']	[(2, 1), (3, 1), (22, 1), (101, 1), (157, 1)]	5
68	[]	eatingDisorders	I used to eat a lot and weigh 120	['use', 'eat', 'lot', 'weigh', '_num_']	[(27, 1), (82, 1), (96, 1), (158, 1), (159, 1)]	5
69	[]	eatingDisorders	I abuse laxatives massively about 30-40 a day	['abuse', 'laxative', 'massively', '_num_', '_num_', 'day']	[(1, 1), (27, 2), (160, 1), (161, 1), (162, 1)]	6
70	[]	eatingDisorders	my eating habits aren't normal	['eat', 'habit', 'normal']	[(96, 1), (163, 1), (164, 1)]	3
71	[]	eatingDisorders	I see myself as morbidly obese	['see', 'morbidly', 'obese']	[(165, 1), (166, 1), (167, 1)]	3
72	[]	eatingDisorders	I started having a hard time keeping my food down	['start', 'hard', 'time', 'keep', 'food']	[(56, 1), (92, 1), (97, 1), (168, 1), (169, 1)]	5
73	[]	eatingDisorders	I feel fat and bloated	['feel', 'fat', 'bloat']	[(104, 1), (170, 1), (171, 1)]	3
74	[{'start': 12, 'end': 22, 'value': 'for 6 days', 'entity': 'duration'}]	eatingDisorders	I've binged for 6 days on junk food	['binged', '_num_', 'day', 'junk', 'food']	[(1, 1), (27, 1), (97, 1), (172, 1), (173, 1)]	5
75	[]	eatingDisorders	my eating is someone I’ve accepted is going to be an issue my entire life	['eat', 'someone', 'accept', 'go', 'issue', 'entire', 'life']	[(11, 1), (57, 1), (96, 1), (154, 1), (174, 1), (175, 1), (176, 1)]	7
76	[]	eatingDisorders	If I eat I feel ashamed and fat and I blame myself	['eat', 'feel', 'ashamed', 'fat', 'blame']	[(96, 1), (104, 1), (171, 1), (177, 1), (178, 1)]	5
77	[]	eatingDisorders	everytime I eat, I feel anxious and nervous	['everytime', 'eat', 'feel', 'anxious', 'nervous']	[(96, 1), (104, 1), (179, 1), (180, 1), (181, 1)]	5
78	[]	eatingDisorders	just want to end this endless cycle of binging and laxative abuse	['want', 'end', 'endless', 'cycle', 'binging', 'laxative', 'abuse']	[(17, 1), (59, 1), (60, 1), (160, 1), (161, 1), (182, 1), (183, 1)]	7
79	[]	eatingDisorders	I use to eat a lot and I mean a lot	['use', 'eat', 'lot', 'mean', 'lot']	[(82, 1), (96, 1), (158, 2), (184, 1)]	5
80	[]	eatingDisorders	I used to be overweight when I was a teen	['use', 'overweight', 'teen']	[(82, 1), (185, 1), (186, 1)]	3
81	[]	eatingDisorders	I may have issues with food	['may', 'issue', 'food']	[(57, 1), (97, 1), (187, 1)]	3
82	[]	eatingDisorders	I have recently got too my lowest weight	['recently', 'get', 'low', 'weight']	[(51, 1), (55, 1), (188, 1), (189, 1)]	4
83	[]	eatingDisorders	When I was overweight, I didn't really eat any more than any of my friends did at the time	['overweight', 'really', 'eat', 'much', 'friend', 'time']	[(34, 1), (92, 1), (96, 1), (185, 1), (190, 1), (191, 1)]	6
84	[]	eatingDisorders	I struggle to eat to gain weight	['struggle', 'eat', 'gain', 'weight']	[(96, 1), (189, 1), (192, 1), (193, 1)]	4
85	[]	eatingDisorders	I am really scared of eating	['really', 'scare', 'eat']	[(96, 1), (191, 1), (194, 1)]	3
86	[{'start': 30, 'end': 44, 'value': 'for a few year', 'entity': 'duration'}]	eatingDisorders	I have had Bulimia on and off for a few year	['bulimia', 'year']	[(14, 1), (195, 1)]	2
87	[]	eatingDisorders	I started making my self sick after meals	['start', 'make', 'self', 'sick', 'meal']	[(56, 1), (196, 1), (197, 1), (198, 1), (199, 1)]	5
88	[{'start': 9, 'end': 25, 'value': '2 to 3 weeks ago', 'entity': 'time'}]	eatingDisorders	So about 2 to 3 weeks ago I’ve probably only eaten one meal a day	['_num_', '_num_', 'week', 'ago', 'probably', 'eat', 'one', 'meal', 'day']	[(1, 1), (4, 1), (27, 2), (91, 1), (96, 1), (197, 1), (200, 1), (201, 1)]	9
89	[]	eatingDisorders	I'm restricting all day	['restrict', 'day']	[(1, 1), (202, 1)]	2
90	[]	eatingDisorders	I eat as an emotional response to everything and anything	['eat', 'emotional', 'response', 'everything', 'anything']	[(96, 1), (126, 1), (203, 1), (204, 1), (205, 1)]	5
91	[]	eatingDisorders	I am diagnosed anorexic and am at my lowest weight ever	['diagnose', 'anorexic', 'low', 'weight', 'ever']	[(188, 1), (189, 1), (206, 1), (207, 1), (208, 1)]	5
92	[]	eatingDisorders	i feel I may have an eating disorder	['feel', 'may', 'eat', 'disorder']	[(96, 1), (104, 1), (187, 1), (209, 1)]	4
93	[]	eatingDisorders	I was anorexic and bulimic during my 20 up to my 40	['anorexic', 'bulimic', '_num_', '_num_']	[(27, 2), (206, 1), (210, 1)]	4
94	[]	eatingDisorders	I have uncontrollable vomiting	['uncontrollable', 'vomit']	[(211, 1), (212, 1)]	2
95	[]	eatingDisorders	when I eat I have nausea	['eat', 'nausea']	[(96, 1), (213, 1)]	2
96	[]	eatingDisorders	I am fed up being overweight but can't stick to diets anymore	['feed', 'overweight', 'stick', 'diet', 'anymore']	[(185, 1), (214, 1), (215, 1), (216, 1), (217, 1)]	5
97	[]	eatingDisorders	I weigh myself 2-3 times a day and get depressed and won’t eat if I go up a pound	['weigh', '_num_', '_num_', 'time', 'day', 'get', 'depress', 'eat', 'go', 'pound']	[(1, 1), (11, 1), (27, 2), (51, 1), (92, 1), (96, 1), (159, 1), (218, 1), (219, 1)]	10
98	[]	eatingDisorders	I’m growing fatter and fatter	['grow', 'fat', 'fat']	[(171, 2), (220, 1)]	3
99	[]	eatingDisorders	A while ago I went through a few months of disordered eating	['ago', 'go', 'month', 'disorder', 'eat']	[(11, 1), (12, 1), (96, 1), (200, 1), (209, 1)]	5
100	[]	eatingDisorders	I suffered from anorexia when I was 13	['suffer', 'anorexia', '_num_']	[(27, 1), (221, 1), (222, 1)]	3
101	[]	eatingDisorders	The problem is, every time I eat, I throw up because of my thoughts	['problem', 'every', 'time', 'eat', 'throw', 'thought']	[(20, 1), (79, 1), (92, 1), (96, 1), (130, 1), (223, 1)]	6
102	[]	eatingDisorders	I feel hungry, but any time I eat, I take one bite and I feel absolutely sick	['feel', 'hungry', 'time', 'eat', 'take', 'one', 'bite', 'feel', 'absolutely', 'sick']	[(91, 1), (92, 1), (96, 1), (104, 2), (108, 1), (199, 1), (224, 1), (225, 1), (226, 1)]	10
103	[]	eatingDisorders	I've always struggled with my weight especially as a young teen	['always', 'struggle', 'weight', 'especially', 'young', 'teen']	[(186, 1), (189, 1), (193, 1), (227, 1), (228, 1), (229, 1)]	6
104	[]	eatingDisorders	I constantly binge eat	['constantly', 'binge', 'eat']	[(96, 1), (230, 1), (231, 1)]	3
105	[]	eatingDisorders	I am scared of gaining weight	['scare', 'gain', 'weight']	[(189, 1), (192, 1), (194, 1)]	3
106	[]	eatingDisorders	I have noticed that in now over 8 months I have been experiencing a kind of food sickness	['notice', '_num_', 'month', 'experience', 'kind', 'food', 'sickness']	[(12, 1), (27, 1), (97, 1), (232, 1), (233, 1), (234, 1), (235, 1)]	7
107	[]	eatingDisorders	I started to binge last year, in around September, when I started university	['start', 'binge', 'last', 'year', 'around', 'september', 'start', 'university']	[(14, 1), (56, 2), (101, 1), (111, 1), (230, 1), (236, 1), (237, 1)]	8
108	[]	eatingDisorders	Been suffering from bulimia for some time, really struggling at the minute with my mental health	['suffer', 'bulimia', 'time', 'really', 'struggle', 'minute', 'mental', 'health']	[(90, 1), (92, 1), (191, 1), (193, 1), (195, 1), (222, 1), (238, 1), (239, 1)]	8
109	[{'start': 19, 'end': 27, 'value': 'anorexia', 'entity': 'pathology_symptom'}]	pathology	I’ve suffered with anorexia since I was about eight years old	['suffer', 'anorexia', 'since', 'eight', 'year', 'old']	[(14, 1), (29, 1), (80, 1), (221, 1), (222, 1), (240, 1)]	6
110	[]	eatingDisorders	I don't eat much because when I started drinking I was 135 pounds now I'm almost 300 pounds	['eat', 'much', 'start', 'drink', '_num_', 'pound', 'almost', '_num_', 'pound']	[(2, 1), (27, 2), (34, 1), (56, 1), (94, 1), (96, 1), (219, 2)]	9
111	[{'start': 19, 'end': 27, 'value': 'Anorexia', 'entity': 'pathology_symptom'}]	pathology	I think i may have Anorexia	['think', 'may', 'anorexia']	[(65, 1), (187, 1), (221, 1)]	3
112	[{'start': 8, 'end': 13, 'value': '60 mg', 'entity': 'dosing'}, {'start': 17, 'end': 21, 'value': 'meth', 'entity': 'drug'}]	drugAddiction	I am on 60 mg of meth	['_num_', 'mg', 'meth']	[(27, 1), (241, 1), (242, 1)]	3
113	[{'start': 53, 'end': 61, 'value': 'tramadol', 'entity': 'drug'}]	drugAddiction	The new doctor gave me a schedule to wean me off the tramadol	['new', 'doctor', 'give', 'schedule', 'wean', 'tramadol']	[(243, 1), (244, 1), (245, 1), (246, 1), (247, 1), (248, 1)]	6
114	[{'start': 21, 'end': 33, 'value': '2 to 6 norco', 'entity': 'dosing'}, {'start': 34, 'end': 39, 'value': 'a day', 'entity': 'period'}]	drugAddiction	I took anywhere from 2 to 6 norco a day but 3 was my average	['take', 'anywhere', '_num_', '_num_', 'norco', 'day', '_num_', 'average']	[(1, 1), (6, 1), (27, 3), (108, 1), (249, 1), (250, 1)]	8
115	[]	drugAddiction	i went to detox for 21 days	['go', 'detox', '_num_', 'day']	[(1, 1), (11, 1), (27, 1), (251, 1)]	4
116	[{'start': 33, 'end': 40, 'value': 'cocaine', 'entity': 'drug'}, {'start': 41, 'end': 62, 'value': 'for the last 6 months', 'entity': 'duration'}]	drugAddiction	i am 19 and i have been snorting cocaine for the last 6 months	['_num_', 'snort', 'cocaine', 'last', '_num_', 'month']	[(12, 1), (27, 2), (101, 1), (252, 1), (253, 1)]	6
117	[{'start': 23, 'end': 28, 'value': '50 mg', 'entity': 'dosing'}, {'start': 32, 'end': 41, 'value': 'methadone', 'entity': 'drug'}, {'start': 50, 'end': 63, 'value': 'in two months', 'entity': 'duration'}]	drugAddiction	I had weaned down from 50 mg of methadone to 40mg in two months	['wean', '_num_', 'mg', 'methadone', '_num_', 'mg', 'two', 'month']	[(12, 1), (27, 2), (106, 1), (242, 2), (248, 1), (254, 1)]	8
118	[{'start': 37, 'end': 45, 'value': 'Suboxone', 'entity': 'drug'}]	drugAddiction	I am in the process of tapering from Suboxone long-term use	['process', 'taper', 'suboxone', 'long', 'term', 'use']	[(82, 1), (255, 1), (256, 1), (257, 1), (258, 1), (259, 1)]	6
119	[{'start': 58, 'end': 66, 'value': 'tramadol', 'entity': 'drug'}, {'start': 67, 'end': 72, 'value': '400mg', 'entity': 'dosing'}, {'start': 10, 'end': 18, 'value': 'two days', 'entity': 'duration'}]	drugAddiction	It’s been two days since I have been recreationally using tramadol 400mg	['two', 'day', 'since', 'recreationally', 'use', 'tramadol', '_num_', 'mg']	[(1, 1), (27, 1), (80, 1), (82, 1), (106, 1), (242, 1), (247, 1), (260, 1)]	8
120	[{'start': 19, 'end': 25, 'value': '50 mgs', 'entity': 'dosing'}, {'start': 29, 'end': 35, 'value': 'Valium', 'entity': 'drug'}, {'start': 36, 'end': 41, 'value': 'daily', 'entity': 'period'}, {'start': 42, 'end': 70, 'value': 'for nearly the last 6 months', 'entity': 'duration'}]	drugAddiction	I have been taking 50 mgs of Valium daily for nearly the last 6 months	['take', '_num_', 'mg', 'valium', 'daily', 'nearly', 'last', '_num_', 'month']	[(12, 1), (27, 2), (101, 1), (108, 1), (242, 1), (261, 1), (262, 1), (263, 1)]	9
121	[{'start': 42, 'end': 49, 'value': '16 mgms', 'entity': 'dosing'}, {'start': 53, 'end': 61, 'value': 'Suboxone', 'entity': 'drug'}]	drugAddiction	I am advanced maternal age(40) and taking 16 mgms of Suboxone films for opiate addiction	['advance', 'maternal', 'age_num_', 'take', '_num_', 'mgms', 'suboxone', 'film', 'opiate', 'addiction']	[(15, 1), (27, 1), (108, 1), (257, 1), (264, 1), (265, 1), (266, 1), (267, 1), (268, 1), (269, 1)]	10
122	[{'start': 19, 'end': 23, 'value': 'come', 'entity': 'drug'}, {'start': 24, 'end': 46, 'value': 'for almost 2 weeks now', 'entity': 'duration'}]	drugAddiction	I’ve been snorting come for almost 2 weeks now	['snort', 'come', 'almost', '_num_', 'week']	[(4, 1), (27, 1), (74, 1), (94, 1), (253, 1)]	5
